DATE,Department,DEN,Block Section/ Yard,CORRIDOR block section,corridor block period,UP/ DN Line,Block demanded in Hrs(Day or Night),Demanded time (From),Demanded time (To),Block demanded in(MINS),Permitted time (From) No need to fill,Permitted time (To) No need to fill,BLOCK PERMITTED MINS,Location - FROM,Location - TO,Nautre of work & Quantum of Output Planned,Need for disconnection (If Yes Track Circuit and Signals Affected) Please give specific details without fail,Caution required,Caution required (if yes with relaxation date dd:mm:yyyy),Power Block & its Elementary Section. Please give specific details without fail,"Resources needed (M/C, Manpower, Supervisors) Include Crane,JCB,porcelain or any other equipment also",Whether site preparation & resources ready,Supervisors to be deputed (JE/SSE with section),Coaching repercussions/ Movement Repercussions,"Actual Block Granted From
  No need to fill","Actual Block Granted To
  No need to fill","Actual block duration MINS
  No need to fill","Over all % granted for the day
  No need to fill","Output as per Manual
  No need to fill","Actual Output
 ","% Output vs Planned
  No need to fill","% Output
 vs
 Planned",PROGRESS,,,,LOCATION,SECTION,ARB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,KVN YD,KPD-JTJ,,DN,,10:00,12:30,150,10:10,12:10,120,,,RR/WW,,,,,,,,,11:00,12:35,95,,,14.62 M R/R+1 WELD,,,,,,,,KPD,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,JTJ YD,KPD-JTJ,,UP/DN,,12:00,14:00,120,14:30,15:45,75,,,WW,,,,,,,,,15:25,16:35,70,,,11.16 M R/R+ 1WELD,,,,,,,,JTJ,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,PDD YD,AJJ-RU,,UP,,11:15,12:15,60,11:15,12:15,60,,,JOINT INSPECTION,,,,,,,,,12:25,13:10,45,,,JOINT INSPECTION ATTENDED ,,,,,,,PT NO 65 B,PUT,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,SOUTH,OV-KGZ,MS-VM,,DN,,11:40,14:00,140,11:50,14:40,170,,,WW,,,,,,,,,12:00,14:15,135,,,8.90 M+10.10 M R/R+4 WELDS,,,,,,,,CGL,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,SOUTH,MKK-STM,MS-VM,,A LINE,,10:30,13:30,180,10:30,13:30,180,,,TRR,,,,,,,,,11:30,13:00,90,,,260 MTRS TRR,,,,,,,16/220-15/960,MS,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,SOUTH,OLA YD,MS-VM,,DN,,12:00,15:00,180,12:30,15:00,150,,,RR/WW,,,,,,,,,12:15,14:45,150,,,6.5 M R/R+2 WELDS,,,,,,,113/165-113/159,ACK,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,NYP YD,MAS-GDR,,DN,,09:00,10:30,90,09:15,10:15,60,,,  O&E,,,,,,,,,09:15,10:05,50,,,PT 63 B O& E DONE,,,,,,,108/22-24,GDR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,NYP YD,MAS-GDR,,DN,,12:00,13:30,90,12:30,13:30,60,,,  O&E,,,,,,,,,13:30,14:15,45,,,PT NO 65 B O& E DONE,,,,,,,108/33-34,GDR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,AIPP-ENR,MAS-GDR,,UP/F,,11:00,14:00,180,11:00,14:00,180,,,DESTRESSING,,,,,,,,,12:10,14:40,150,,,560 MTRS+2 WELDS,,,,,,,17/040-17/600,TVT,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,WJ R YD,TRL-KPD,,DN,,10:25,11:25,60,10:25,11:25,60,,,JOINT INSPECTION,,,,,,,,,10:25,11:25,60,,,JOINT INSPECTION ATTENDED ,,,,,,,PT NO 105B,WJR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,WJR YD,TRL-KPD,,DN,,12:05,12:30,25,12:05,12:30,25,,,JOINT INSPECTION,,,,,,,,,12:05,12:30,25,,,JOINT INSPECTION ATTENDED ,,,,,,,PT NO 104,WJR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,SOUTH,PV YD,MS-VM,,A LINE,,11:50,12:35,45,11:50,12:35,45,,,SEJ INSERION,,,,,,,,,11:50,12:35,45,,,ONE SET DOUBLE GAP SEJ INSERTED ,,,,,,,23/10-23/16,TBM,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,ODR YD,MAS-GDR,,UP,,14:00,16:00,120,14:00,16:00,120,,,RR/WW,,,,,,,,,14:00,16:00,120,,,2 NOS 6.5 MTR R/R+4 WELDS,,,,,,,127/01-126/37,GDR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,TNP YD,MAS-GDR,,UP/GOODS,,12:05,13:25,80,12:05,13:25,80,,,T /OUT,,,,,,,,,12:05,13:25,80,,,21 nos rail t/out,,,,,,,,TVT,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,CENTRAL,MS YD,MS-VM,,RD 1,,15:00,16:05,65,15:00,16:05,65,,,R/R,,,,,,,,,15:00,16:05,65,,,11.90 M R/R 52 KG,,,,,,,,MS,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,VLT-GYM,KPD-JTJ,,UP,,22:15,00:00,105,22:15,00:00,105,,,BT UNLOADING,,,,,,,,,22:15,00:00,105,,,11 BOBYN UNLOADED ,,,,,,,"158/15-13,154/23-21",AB,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,PCKM-AB,KPD-JTJ,,UP,,20:30,23:30,180,20:30,23:30,180,,,MFBW,,,,,,,,,20:45,23:45,180,,,37 WELDS,,,,,,,"180/03-179/23,180/01-179/27",AB,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,TADA-AKM,MAS-GDR,,UP,,22:10,01:40,210,22:10,01:40,210,,,LC 47 SHEET PILING,,,,,,,,,22:10,01:10,180,,,07 SHEETS DRIVEN ,,,,,,,LC 47,SPE,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,EAST,AKM YD,MAS-GDR,,UP,,22:30,01:00,150,22:30,01:00,150,,,SLEEPERS T/OUT,,,,,,,,,22:30,01:10,160,,,230 SLEEPERS T/OUT,,,,,,,,SPE,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,WEST,MCN YD,TRL-KPD,,UP,,22:00,00:00,120,22:00,00:00,120,,,RR/WW,,,,,,,,,22:00,00:00,120,,,8.40 M R/R+2 WELDS,,,,,,,113/21-19,WJR,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,CENTRAL,VPY-VLK,MAS-TRL,,DN/F,,22:30,01:30,180,22:30,01:30,180,,,TRR,,,,,,,,,23:55,01:50,115,,,2 WELDS,,,,,,,07/28A-30A,WST A,ADDITONONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-01-2024,ENGG,,,,,,,,,0,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,PEI YD,MS-VM,,RD-4 DNLOOP,,20:00,00:00,240,22:00,00:30,150,,,BCM 358,,,,,,,,,20:55,01:30,275,,,250 MTS,,,,,,,144/000-143/750,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,TNPM YD,MAS-GDR,,LINE-2,,13:30,17:30,240,13:30,17:30,240,,,BCM 704,,,,,,,,,13:30,17:30,240,,,PROG-54-01 SLP-750 MTS,,,,,,,C3 AC LOCO,AJJ,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MLMR-TZD,MS-VM,,DN,,02:00,05:30,210,02:00,05:30,210,,,BRM R 32,,,,,,,,,02:00,05:30,210,,,4500 MTS,,,,,,,100/500-102/00,ACK,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MLMR-TZD,MS-VM,,UP,,23:05,00:40,95,23:05,00:40,95,,,BRM R 32,,,,,,,,,23:05,00:40,95,,,2100 MTS,,,,,,,99/000-99/700,ACK,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MLMR-MMK,MS-VM,,UP,,21:00,23:15,135,22:30,00:45,135,,,DTE 56743,,,,,,,,,22:25,00:40,135,,,2950 SLP,,,,,,,85/600-87/000,ACK,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MMK-MLMR,MS-VM,,DN,,02:00,05:50,230,01:30,05:30,240,,,DTE 56743,,,,,,,,,01:50,05:40,230,,,4260 SLP,,,,,,,85/500-87/900,ACK,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,EAST,MTL YD,MS-VM,,RD-4,,20:00,22:00,120,21:30,23:30,120,,,DGS 353,,,,,,,,,01:30,03:30,120,,,750 MTS,,,,,,,135/00-134/350,PON,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,VVN-PEI,MS-VM,,UP,,02:00,04:00,120,02:15,04:15,120,,,DGS 353,,,,,,,,,21:30,23:30,120,,,1150 MTS,,,,,,,145/600-144/750,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,CTRE-MDVE,TRL-KPD,,DN,,01:00,03:00,120,01:10,03:10,120,,,DGS 350,,,,,,,,,02:15,03:55,100,,,700 MTS,,,,,,,85/00-85/700,WJR,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,EAST,AIPP-ENR,MAS-GDR,,DN/F,,13:25,15:00,95,13:25,15:00,95,,,SBCM 57152,,,,,,,,,13:25,15:00,95,,,400 MTS,,,,,,,20/200-19/800,PON,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,AIP YD,MAS-GDR,,RD-4,,16:50,18:20,90,16:50,18:20,90,,,SBCM 57152,,,,,,,,,16:50,18:20,90,,,350 MTS,,,,,,,21/650-21/300,AJJ,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,PEI YD,MS-VM,,DN,,02:00,04:00,120,02:15,04:15,120,,,MPT 2004,,,,,,,,,03:40,05:40,120,,,1 UNIT+100 SLP,,,,,,,PT NO 53B,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,VVN YD,MS-VM,,UP,,20:00,22:10,130,22:00,00:10,130,,,MPT 2004,,,,,,,,,21:50,00:00,130,,,1 UNIT+200 SLP,,,,,,,PT NO 51B,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MKK YD,MS-VM,,A & B LINE,,00:00,02:00,120,00:15,02:15,120,,,MFI 56924,,,,,,,,,01:00,02:00,60,,,1 UNIT+600 SLP,,,,,,,PT NO 107B,MS,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,TNPM YD,MAS-GDR,,LINE 2,,13:30,17:30,240,13:30,17:30,240,,,MFI 56924,,,,,,,,,13:30,17:30,240,,,1 UNIT+100 SLP,,,,,,,C3 AC LOCO,TRL-B,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,KBT YD,TRL-KPD,,DN SLOW,,02:45,04:45,120,02:45,04:45,120,,,MFI 56916,,,,,,,,,03:05,05:00,115,,,1.3 UNIT+200 SLP,,,,,,,PT NO 63B,TRL-B,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,OV-KGZ,MS-VM,,DN,,01:30,04:30,180,01:30,04:30,180,,,TRT-984,,,,,,,,,01:50,05:21,211,,,281 MTS/469 SLP,,,,,,,79/926-80/180,CGL,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,,,,,,,,,0,,,0,,,T 28 9305,,,,,,,,,,,0,,,BLOCK AVAILED 12/13.01.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,VLT YD,KPD-JTJ,,UP,,20:30,22:30,120,21:45,23:45,120,,,MFI 57110,,,,,,,,,22:10,00:02,112,,,1 UNIT+400 SLP,,,,,,,PT NO 53B+SEJ,AB,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,AVD-ABU,MAS-TRL,,UP SLOW,,00:30,02:30,120,00:30,02:30,120,,,SBCM 1878,,,,,,,,,00:30,02:30,120,,,845 MTS,,,,,,,19/100-945,AVD,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,EAST,AJJ YD,TRL-KPD,,SIDING,,11:00,13:00,120,11:00,13:00,120,,,UTV 047,,,,,,,,,11:00,13:00,120,,,43 P & C SLP UN/L=43*2=86 NOS,,,,,,,,TVT,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,AJJ YD,TRL-KPD,,RD-7,,14:00,16:00,120,14:00,16:00,120,,,UTV 047,,,,,,,,,14:00,16:00,120,,,50 P & C SLP LDD =50*2=100 NOS,,,,,,,,AJJ,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,MAS YD,MAS-TRL,,RAKE LINE,,00:30,01:55,85,00:30,01:55,85,,,UTV 164,,,,,,,,,00:30,01:55,85,,,80 PT SLP LDD,,,,,,,,WST-A,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,VLK YD,MAS-TRL,,MACHINE SIDING,,02:30,03:30,60,02:30,03:30,60,,,UTV 164,,,,,,,,,02:30,03:30,60,,,80 PT SLP UN.LOADED,,,,,,,,WST-A,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,TRL YD,TRL-KPD,,SIDING,,11:30,12:00,30,11:30,12:00,30,,,UTV 164,,,,,,,,,11:30,12:00,30,,,"LDD OF GLUED JT RLS=02 NOS RLS,1*4=4 CROSSING)",,,,,,,,AJJ,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,TO YD,TRL-KPD,,RD-7,,14:00,15:00,60,14:00,15:00,60,,,UTV 164,,,,,,,,,14:00,15:00,60,,,LDD OF RLSD RLS-20 NOS,,,,,,,,TRL-B,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,CENTRAL,TO YD,TRL-KPD,,SIDING,,15:00,16:00,60,15:00,16:00,60,,,UTV 164,,,,,,,,,15:00,16:00,60,,,UN/L OF RLS=20 NOS,,,,,,,,TRL-B,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MKK-MS,MS-VM,,UP SUB,,01:10,02:40,90,01:10,02:40,90,,,UTV 024,,,,,,,,,01:10,02:40,90,,,27 RLS LDD,,,,,,,06/00-04/800,MS,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MS,MS-VM,,RD-4,,03:00,03:45,45,03:00,03:45,45,,,UTV 024,,,,,,,,,03:00,03:45,45,,,27 NOS RLS LDD,,,,,,,,MS,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,WEST,CTRE-MDVE,TRL-KPD,,DN,,01:00,03:00,120,01:10,03:10,120,,,DUO 8113,,,,,,,,,02:15,03:55,100,,,1700 SLP,,,,,,,85/00-85/700,WJR,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,OV-KGZ,MS-VM,,DN,,01:30,05:30,240,01:30,05:30,240,,,DUO 8078,,,,,,,,,01:50,05:50,240,,,4500 PSC SLP,,,,,,,"72/600-78/700,78/700-79/300,79/650-850",CGL,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,OV-CGL,MS-VM,,UP,,22:30,00:30,120,22:40,00:40,120,,,DUO 8078,,,,,,,,,22:45,00:45,120,,,2000 PSC,,,,,,,62/100-63/300,CGL,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,MTL YD,MS-VM,,RD-4,,20:00,22:00,120,21:30,23:30,120,,,DUO 8052,,,,,,,,,21:30,23:30,120,,,1700 MTS,,,,,,,135/00-134/350,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-01-2024,ENGG,SOUTH,VVN-PEI,MS-VM,,UP,,02:00,04:00,120,02:15,04:15,120,,,DUO 8052,,,,,,,,,21:30,23:30,120,,,1900 SLP,,,,,,,145/600-144/750,TMV,ADDIITONAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
